LoanID,Age,Gender,Marital_Status,Employment_Status,Annual_Income,Loan_Amount,Loan_Term_Months,Credit_Score,Existing_Loans_Count,Loan_Approval_Status
267,43.0,Male,Widowed,Unemployed,227748.0,415321.0,72,624.0,3,1
268,51.0,Male,Divorced,Self-Employed,165919.0,118174.0,72,517.0,1,1
269,50.0,Female,Single,Unemployed,198263.0,331890.0,60,530.0,3,0
270,62.0,Male,Widowed,Unemployed,54256.0,366602.0,60,478.0,3,0
271,55.0,Female,Married,Unemployed,147025.0,217637.0,36,379.0,1,0
272,27.0,Female,Widowed,Employed,179846.0,395828.0,72,653.0,2,0
273,36.0,Male,Divorced,Self-Employed,147343.0,307079.0,12,460.0,3,0
274,46.0,Male,Widowed,Self-Employed,29127.0,113352.0,36,726.0,0,0
275,68.0,Female,Single,Self-Employed,138251.0,429817.0,72,702.0,4,1
276,69.0,Female,Widowed,Self-Employed,179277.0,44865.0,60,331.0,1,0
277,22.0,Male,Divorced,Employed,101163.0,364225.0,60,420.0,1,0
278,21.0,Female,Divorced,Unemployed,209836.0,345845.0,60,814.0,3,1
279,68.0,Male,Married,Self-Employed,138279.0,416832.0,72,684.0,2,1
280,32.0,Female,Divorced,Employed,121824.0,278798.0,60,724.0,2,0
281,25.0,Female,Married,Unemployed,58664.0,22830.0,24,775.0,4,0
282,57.0,Male,Single,Employed,76795.0,414421.0,60,466.0,4,1
283,52.0,Male,Divorced,Employed,141729.0,47425.0,72,688.0,2,1
284,29.0,Male,Widowed,Self-Employed,183405.0,213567.0,36,632.0,2,0
285,61.0,Female,Single,Self-Employed,56079.0,485910.0,60,822.0,2,0
286,55.0,Female,Widowed,Unemployed,104225.0,82355.0,48,770.0,3,0
287,39.0,Female,Widowed,Unemployed,44259.0,434067.0,24,823.0,0,0
288,68.0,Female,Widowed,Self-Employed,46571.0,113039.0,72,352.0,4,0
289,36.0,Male,Single,Employed,71119.0,259031.0,60,320.0,1,0
290,23.0,Female,Single,Self-Employed,28009.0,405168.0,48,318.0,2,1
291,40.0,Female,Divorced,Unemployed,130210.0,487977.0,72,755.0,2,0
292,44.0,Female,Widowed,Employed,81829.0,52405.0,36,621.0,0,0
293,53.0,Male,Married,Employed,58230.0,262239.0,24,732.0,2,0
294,44.0,Female,Divorced,Employed,131364.0,243839.0,60,358.0,4,0
295,31.0,Female,Single,Self-Employed,76049.0,260516.0,36,450.0,2,0
296,69.0,Male,Married,Self-Employed,121762.0,272535.0,72,739.0,0,0
297,,Female,Single,Unemployed,,,48,,3,1
298,56.0,Female,Married,Employed,139466.0,198540.0,72,592.0,4,0
299,58.0,Male,Divorced,Employed,187570.0,20091.0,72,481.0,3,1
300,60.0,Female,Married,Self-Employed,139053.0,297381.0,24,377.0,1,1
301,40.0,Female,Divorced,Unemployed,179892.0,380412.0,60,404.0,0,0
302,55.0,Female,Single,Unemployed,191387.0,260665.0,36,560.0,1,1
303,68.0,Male,Married,Employed,115018.0,325497.0,24,522.0,1,1
304,45.0,Female,Widowed,Self-Employed,52795.0,341644.0,48,783.0,1,0
305,55.0,Female,Widowed,Employed,133812.0,176754.0,60,428.0,1,1
306,45.0,Male,Single,Self-Employed,105411.0,379924.0,24,618.0,0,0
307,49.0,Male,Married,Unemployed,59191.0,447850.0,48,808.0,3,0
308,38.0,Female,Widowed,Employed,205525.0,294112.0,48,319.0,2,0
309,,Female,Divorced,Employed,,,36,,1,1
310,38.0,Female,Married,Employed,140848.0,176277.0,72,649.0,2,0
311,22.0,Female,Married,Unemployed,201397.0,212979.0,48,752.0,2,1
312,55.0,Male,Widowed,Employed,200562.0,440757.0,48,808.0,1,1
313,36.0,Female,Divorced,Unemployed,225868.0,130401.0,72,722.0,4,0
314,61.0,Male,Divorced,Self-Employed,134165.0,227289.0,12,489.0,2,0
315,56.0,Male,Divorced,Unemployed,69993.0,295429.0,48,424.0,4,0
316,53.0,Female,Married,Self-Employed,130780.0,370651.0,60,305.0,3,0
317,24.0,Female,Single,Unemployed,65706.0,450729.0,24,757.0,2,1
318,53.0,Male,Married,Unemployed,193889.0,20430.0,72,821.0,0,0
319,34.0,Male,Married,Employed,215616.0,256707.0,72,388.0,3,0
320,,Female,Widowed,Unemployed,,,72,,3,0
321,68.0,Male,Single,Employed,206782.0,155990.0,60,696.0,4,1
322,40.0,Female,Divorced,Self-Employed,70799.0,285400.0,72,310.0,1,0
323,28.0,Female,Widowed,Self-Employed,139586.0,184594.0,60,796.0,0,1
324,,Male,Married,Employed,,,36,,0,1
325,,Male,Single,Self-Employed,,,12,,4,1
326,,Female,Divorced,Unemployed,,,72,,4,0
327,53.0,Male,Divorced,Employed,117379.0,322278.0,12,487.0,3,0
328,68.0,Female,Married,Employed,211510.0,319801.0,72,757.0,4,0
329,32.0,Female,Divorced,Employed,129987.0,303232.0,60,350.0,1,0
330,42.0,Female,Divorced,Self-Employed,228295.0,413195.0,24,570.0,3,1
331,42.0,Male,Single,Self-Employed,81926.0,204336.0,12,763.0,3,0
332,66.0,Female,Widowed,Unemployed,23801.0,317250.0,12,342.0,3,0
333,50.0,Female,Single,Unemployed,192120.0,137667.0,60,838.0,0,0
334,58.0,Female,Widowed,Employed,60144.0,168696.0,12,420.0,0,0
335,58.0,Female,Widowed,Unemployed,114478.0,495320.0,36,615.0,3,0
336,65.0,Female,Widowed,Self-Employed,161220.0,72824.0,60,414.0,1,0
337,28.0,Female,Divorced,Unemployed,132364.0,372293.0,12,753.0,2,1
338,47.0,Female,Single,Self-Employed,102819.0,176503.0,12,819.0,3,0
339,47.0,Female,Divorced,Unemployed,170933.0,361691.0,12,636.0,4,0
340,54.0,Female,Married,Self-Employed,212789.0,126624.0,60,539.0,2,0
341,41.0,Female,Single,Self-Employed,173552.0,415343.0,24,685.0,0,0
342,50.0,Female,Widowed,Unemployed,38637.0,285022.0,48,444.0,0,1
343,53.0,Male,Divorced,Unemployed,64621.0,257366.0,72,676.0,2,1
344,48.0,Female,Divorced,Self-Employed,211376.0,470696.0,12,303.0,4,0
345,67.0,Female,Single,Employed,67431.0,327834.0,48,627.0,0,0
346,53.0,Female,Single,Unemployed,119937.0,82838.0,48,496.0,0,0
347,,Male,Widowed,Self-Employed,,,12,,3,1
348,68.0,Female,Widowed,Unemployed,76172.0,113484.0,12,560.0,1,1
349,39.0,Male,Married,Unemployed,45437.0,398423.0,72,393.0,4,0
350,24.0,Female,Widowed,Unemployed,159221.0,6083.0,48,556.0,3,1
351,55.0,Female,Divorced,Unemployed,165743.0,187636.0,24,435.0,1,0
352,69.0,Male,Married,Unemployed,43119.0,270455.0,48,824.0,0,1
353,37.0,Female,Married,Employed,197189.0,290279.0,24,797.0,1,1
354,64.0,Male,Married,Employed,167351.0,62109.0,36,477.0,0,0
355,48.0,Male,Single,Employed,88835.0,328498.0,24,411.0,3,0
356,50.0,Female,Widowed,Self-Employed,155875.0,461863.0,72,563.0,0,1
357,49.0,Female,Married,Employed,233969.0,111892.0,60,713.0,1,0
358,66.0,Female,Single,Employed,80805.0,457517.0,12,668.0,3,1
359,26.0,Female,Single,Self-Employed,38201.0,329377.0,36,677.0,1,0
360,55.0,Male,Married,Employed,48634.0,232827.0,48,682.0,1,1
361,61.0,Male,Married,Unemployed,165832.0,480344.0,24,810.0,2,0
362,57.0,Female,Divorced,Employed,161898.0,182284.0,36,676.0,0,0
363,44.0,Male,Married,Employed,106821.0,356612.0,60,844.0,0,1
364,49.0,Male,Divorced,Employed,65775.0,193848.0,24,372.0,1,1
365,69.0,Female,Married,Unemployed,146546.0,220648.0,72,803.0,0,0
366,66.0,Male,Married,Unemployed,134090.0,207458.0,48,651.0,4,0
367,51.0,Male,Widowed,Unemployed,94676.0,56588.0,48,624.0,0,1
